author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/292125772/;Москва;sale;flat;20;37;1;39.6;722826;28623910;2027;Новостройка;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/290499455/;Москва;sale;flat;3;40;1;45.5;709890;32300000;2021;Вторичка;Монолитный;Центральное;-1;19.0;6.0;+79646331510;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
